"","losses","counter"
"0","2.3296589851379","0"
"1","2.3017437458038","640"
"2","2.3095726966858","1280"
"3","2.2965195178986","1920"
"4","2.3023614883423","2560"
"5","2.3188529014587","3200"
"6","2.3138515949249","3840"
"7","2.3062694072723","4480"
"8","2.297868013382","5120"
"9","2.3123548030853","5760"
"10","2.2892847061157","6400"
"11","2.3132972717285","7040"
"12","2.3012118339538","7680"
"13","2.2985711097717","8320"
"14","2.2937016487122","8960"
"15","2.3015658855438","9600"
"16","2.2971708774567","10240"
"17","2.2994334697723","10880"
"18","2.2984578609466","11520"
"19","2.302915096283","12160"
"20","2.2990047931671","12800"
"21","2.3046205043793","13440"
"22","2.3101913928986","14080"
"23","2.2985033988953","14720"
"24","2.2979106903076","15360"
"25","2.2998878955841","16000"
"26","2.3081297874451","16640"
"27","2.2989933490753","17280"
"28","2.3023924827576","17920"
"29","2.2894937992096","18560"
"30","2.2804584503174","19200"
"31","2.2581367492676","19840"
"32","2.2651150226593","20480"
"33","2.2788529396057","21120"
"34","2.266966342926","21760"
"35","2.2444200515747","22400"
"36","2.1531500816345","23040"
"37","2.2284858226776","23680"
"38","2.1850485801697","24320"
"39","2.2196114063263","24960"
"40","2.190931558609","25600"
"41","2.1249227523804","26240"
"42","2.0322947502136","26880"
"43","2.0308203697205","27520"
"44","2.089323759079","28160"
"45","2.044109582901","28800"
"46","2.169486284256","29440"
"47","2.159383058548","30080"
"48","2.3006775379181","30720"
"49","2.0396726131439","31360"
"50","1.8972897529602","32000"
"51","2.1394126415253","32640"
"52","1.9903882741928","33280"
"53","2.0716531276703","33920"
"54","1.9767189025879","34560"
"55","1.9621005058289","35200"
"56","2.0614793300629","35840"
"57","2.103725194931","36480"
"58","1.9324756860733","37120"
"59","1.8958460092545","37760"
"60","2.0628764629364","38400"
"61","2.0447623729706","39040"
"62","1.9102609157562","39680"
"63","1.991363286972","40320"
"64","2.0136897563934","40960"
"65","1.9660234451294","41600"
"66","2.0584785938263","42240"
"67","1.9300085306168","42880"
"68","1.985656619072","43520"
"69","2.1175060272217","44160"
"70","2.1322417259216","44800"
"71","2.0664889812469","45440"
"72","2.0095674991608","46080"
"73","2.001767873764","46720"
"74","2.0381951332092","47360"
"75","1.9266086816788","48000"
"76","1.9352049827576","48640"
"77","1.9917060136795","49280"
"78","2.0319948196411","49920"
"79","2.0725588798523","50000"
"80","1.9014270305634","50640"
"81","2.0431253910065","51280"
"82","2.0683395862579","51920"
"83","1.864981174469","52560"
"84","1.9403814077377","53200"
"85","2.029351234436","53840"
"86","2.0794696807861","54480"
"87","1.8903106451034","55120"
"88","1.9220857620239","55760"
"89","1.8621542453766","56400"
"90","2.0356440544128","57040"
"91","1.9794217348099","57680"
"92","1.9767127037048","58320"
"93","1.9822130203247","58960"
"94","1.8033430576324","59600"
"95","2.0007724761963","60240"
"96","1.8728544712067","60880"
"97","1.9068111181259","61520"
"98","1.9241275787354","62160"
"99","1.8548538684845","62800"
"100","2.0480077266693","63440"
"101","1.8550168275833","64080"
"102","2.0353810787201","64720"
"103","1.9054528474808","65360"
"104","1.8839982748032","66000"
"105","2.0337648391724","66640"
"106","1.8480205535889","67280"
"107","1.829106092453","67920"
"108","1.8474847078323","68560"
"109","1.7476041316986","69200"
"110","1.8656455278397","69840"
"111","1.9611189365387","70480"
"112","1.9355179071426","71120"
"113","1.662554860115","71760"
"114","1.7614384889603","72400"
"115","2.0109577178955","73040"
"116","1.970849275589","73680"
"117","1.920058965683","74320"
"118","1.7814718484879","74960"
"119","1.8582261800766","75600"
"120","1.9793919324875","76240"
"121","1.7108047008514","76880"
"122","1.9407900571823","77520"
"123","1.7114132642746","78160"
"124","1.9260761737823","78800"
"125","1.8672139644623","79440"
"126","1.9386383295059","80080"
"127","1.8942720890045","80720"
"128","1.8665390014648","81360"
"129","1.80584025383","82000"
"130","1.869154214859","82640"
"131","1.7445621490479","83280"
"132","1.7239521741867","83920"
"133","1.6894838809967","84560"
"134","1.9146324396133","85200"
"135","1.8161389827728","85840"
"136","1.7716726064682","86480"
"137","1.742436170578","87120"
"138","1.9017919301987","87760"
"139","1.8076902627945","88400"
"140","1.7350468635559","89040"
"141","1.8808543682098","89680"
"142","1.8937445878982","90320"
"143","1.6702698469162","90960"
"144","1.7537610530853","91600"
"145","1.7303842306137","92240"
"146","1.6219856739044","92880"
"147","1.7695353031158","93520"
"148","1.8452075719833","94160"
"149","1.6990882158279","94800"
"150","1.7561186552048","95440"
"151","1.6873375177383","96080"
"152","1.8187463283539","96720"
"153","1.8019690513611","97360"
"154","1.7113827466965","98000"
"155","1.7884865999222","98640"
"156","1.696951508522","99280"
"157","1.7361443042755","99920"
